mu_DM,sigma_DM,beta_DM,A
12.5,0.2,1.5,0.27443483569011995
12.5,0.2,1.5344827586206897,0.27422306578457084
12.5,0.2,1.5689655172413792,0.2740293203400223
12.5,0.2,1.603448275862069,0.27385316544457916
12.5,0.2,1.6379310344827587,0.27369412583509545
12.5,0.2,1.6724137931034484,0.2735516835464256
12.5,0.2,1.706896551724138,0.2734252731512719
12.5,0.2,1.7413793103448276,0.27331427304399447
12.5,0.2,1.7758620689655173,0.27321799263822716
12.5,0.2,1.8103448275862069,0.2731356558101945
12.5,0.2,1.8448275862068966,0.2730663813826857
12.5,0.2,1.8793103448275863,0.2730091618617146
12.5,0.2,1.9137931034482758,0.2729628419653568
12.5,0.2,1.9482758620689655,0.27292609868750356
12.5,0.2,1.9827586206896552,0.27289742469684913
12.5,0.2,2.0172413793103448,0.2728751167778178
12.5,0.2,2.0517241379310347,0.27285727078547295
12.5,0.2,2.086206896551724,0.2728417842348845
12.5,0.2,2.1206896551724137,0.2728263672101803
12.5,0.2,2.155172413793103,0.2728085617978076
12.5,0.2,2.189655172413793,0.2727857697603724
12.5,0.2,2.2241379310344827,0.2727552877054221
12.5,0.2,2.2586206896551726,0.27271434859543736
12.5,0.2,2.293103448275862,0.2726601681105802
12.5,0.2,2.3275862068965516,0.27258999412792373
12.5,0.2,2.362068965517241,0.2725011574267298
12.5,0.2,2.396551724137931,0.27239112167171486
12.5,0.2,2.4310344827586206,0.2722575307645022
12.5,0.2,2.4655172413793105,0.2720982517836989
12.5,0.2,2.5,0.27191141194986096
12.5,0.2103448275862069,1.5,0.27439487800384615
12.5,0.2103448275862069,1.5344827586206897,0.2741589442038296
12.5,0.2103448275862069,1.5689655172413792,0.2739416877573288
12.5,0.2103448275862069,1.603448275862069,0.27374276697354893
12.5,0.2103448275862069,1.6379310344827587,0.27356175272810995
12.5,0.2103448275862069,1.6724137931034484,0.2733981262746482
12.5,0.2103448275862069,1.706896551724138,0.2732512756702546
12.5,0.2103448275862069,1.7413793103448276,0.2731204904994648
12.5,0.2103448275862069,1.7758620689655173,0.2730049548339893
12.5,0.2103448275862069,1.8103448275862069,0.27290373864374273
12.5,0.2103448275862069,1.8448275862068966,0.27281578815090163
12.5,0.2103448275862069,1.8793103448275863,0.2727399158649733
12.5,0.2103448275862069,1.9137931034482758,0.27267479122770194
12.5,0.2103448275862069,1.9482758620689655,0.2726189329119884
12.5,0.2103448275862069,1.9827586206896552,0.272570703846228
12.5,0.2103448275862069,2.0172413793103448,0.2725283099712804
12.5,0.2103448275862069,2.0517241379310347,0.27248980358666247
12.5,0.2103448275862069,2.086206896551724,0.2724530919191743
12.5,0.2103448275862069,2.1206896551724137,0.2724159512700636
12.5,0.2103448275862069,2.155172413793103,0.27237604678890376
12.5,0.2103448275862069,2.189655172413793,0.2723309576068991
12.5,0.2103448275862069,2.2241379310344827,0.27227820676161385
12.5,0.2103448275862069,2.2586206896551726,0.272215295077533
12.5,0.2103448275862069,2.293103448275862,0.27213973794741914
12.5,0.2103448275862069,2.3275862068965516,0.2720491037978131
12.5,0.2103448275862069,2.362068965517241,0.27194105292455495
12.5,0.2103448275862069,2.396551724137931,0.27181337535281513
12.5,0.2103448275862069,2.4310344827586206,0.27166402641044657
12.5,0.2103448275862069,2.4655172413793105,0.2714911587997374
12.5,0.2103448275862069,2.5,0.2712931501056844
12.5,0.2206896551724138,1.5,0.27441324035357145
12.5,0.2206896551724138,1.5344827586206897,0.2741542977638781
12.5,0.2206896551724138,1.5689655172413792,0.27391385156887194
12.5,0.2206896551724138,1.603448275862069,0.27369165167135007
12.5,0.2206896551724138,1.6379310344827587,0.2734873325963801
12.5,0.2206896551724138,1.6724137931034484,0.2733004110332129
12.5,0.2206896551724138,1.706896551724138,0.2731302833256354
